datetime,station,passengers,temperature,weather_type,is_weekend,events
2024-12-08 16:05:25.890062,T-Centralen,400,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Slussen,200,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Gullmarsplan,112,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Fridhemsplan,100,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Tekniska högskolan,18,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Universitet,16,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Gamla stan,121,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Kungsträdgården,102,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Odenplan,93,3.4,clear,True,[]
2024-12-08 16:05:25.890062,Medborgarplatsen,90,3.4,clear,True,[]
2024-12-08 17:05:25.890062,T-Centralen,400,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Slussen,200,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Gullmarsplan,112,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Fridhemsplan,100,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Tekniska högskolan,18,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Universitet,16,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Gamla stan,121,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Kungsträdgården,102,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Odenplan,93,3.4,clear,True,[]
2024-12-08 17:05:25.890062,Medborgarplatsen,90,3.4,clear,True,[]
2024-12-08 18:05:25.890062,T-Centralen,400,3.4,clear,True,[]
2024-12-08 18:05:25.890062,Slussen,200,3.4,clear,True,[]
2024-12-08 18:05:25.890062,Gullmarsplan,112,3.4,clear,True,[]
2024-12-08 18:05:25.890062,Fridhemsplan,100,3.4,clear,True,[]
2024-12-08 18:05:25.890062,Tekniska högskolan,18,3.4,clear,True,[]
